GC1 Comdty,ES1 Index,GBPUSD Curncy,VG1 Index,MA50,MA250,Position,Returns,StrategyReturn,,-0.0032430611127489684,0.012338375728893736,0.005175724183988706,-0.011004069429449426,0.0008397363227945487,0.0,0.0,0.0,0.0,0.0,0.0,-0.015605990686747506,0.001406349882804081,0.0013192612137202797,0.018147817586807724,-0.0022541325763900666,0.009706300727972517,0.008411369851661465,0.005958006327813514,0.005146638346540389,-0.0030477893368010545,-0.014103452492561064,0.008310249307479145,-0.0048384451369526404,0.005232797692624747,-0.005246546706562327,-0.007416869257076963,0.006766573954917199,0.003875968992248069,0.0032038117144499445,-0.00925319358008514,0.0064881395156624055,0.0005748306302606476,-0.0032007878862488903,0.010291877650158598,-0.000529725765046285,0.0024054142204827933,0.0026436734859884847,-0.004299853967223766,-0.017518129226757884,-0.004685685851716692,-0.0051243594550680616,0.00012562814070360417,-0.01582715739228735,0.014805360561582548,-0.017188613591581747,-0.012157147122808465,0.01066586060972452,-0.017944883571886394,0.005177289536654417,-0.02687846260387816,-0.007783658764399792,0.004975793437331788,-0.0137829519603907,0.020352781546811416,0.007136524822695112,-0.010959024690814667,0.010768956924172235,-0.002817645504974875,-0.007894039735099279,0.0351917120581009,0.0018914968618346517,-0.01149918475928946,-0.0035159302022744754,-0.02025525983360199,0.005379690556642336,0.0037588997479325315,0.006652568508238588,-0.04892993128802137,-0.05936220146334725,-0.002543906853872069,-0.015106184707440296,0.09377023056620692,-0.03441995993443814,0.016833270463975758,0.009181544168792133,-0.0022974773698478668,-0.022567125685073464,0.001319323375583048,-0.024092983859583028,0.02507353295723025,0.016369537607601403,0.02027120840468366,0.0069857110455886495,0.0005856119645029079,0.005537547271744936,0.0005820461159615764,0.00648827635582605,0.015249188636464739,-0.006524785426519575,-0.00811037157843697,0.004666044527396274,0.005750176928520867,-0.001143460286744613,0.03293413173652704,0.00673486786018751,0.0006774494029977429,0.004188880426504227,0.007120886529305093,0.0011714500878587941,-0.003802758044295862,-0.01652753890683334,-0.0007677543186180857,-0.006787040594186222,0.020156438026474044,-0.005308168681804726,0.003388251238829465,-0.0011396732936558296,0.0052822853279241855,0.005758964227163821,-8.359107247346564e-05,-0.00585186423674966,0.010216952573158355,0.0005826778207849159,0.005781789443034757,-0.002646815550041315,0.003400232210980292,-0.011612529961153806,0.009449345653719021,-0.008408234270803172,-0.0005847953216374657,0.004799799381426162,0.011112756459424888,0.011395425374362445,0.00012202562538132788,0.007808687164470474,0.004640839386602202,0.004820245029122372,-0.00079952028782726,0.0017603520704141395,Capital
2641.0,5935.75,1.2517,4881.0,5975.340200000001,5492.46424,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669.0,5916.5,1.238,4932.0,5976.6902,5496.8852400000005,1.0,-0.0032430611127489684,-0.0032430611127489684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9967.56938887251
2654.7,5989.5,1.2423,4888.0,5979.5602,5501.36524,1.0,0.012338375728893736,0.012338375728893736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10090.553005096239
2647.4,6020.5,1.252,5006.0,5982.7402,5505.92324,1.0,0.005175724183988706,0.005175724183988706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10142.778924314534
2665.4,5954.25,1.2477,5035.0,5984.4052,5510.16024,1.0,-0.011004069429449426,-0.011004069429449426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10031.167080823821
2672.4,5959.25,1.2363,5010.0,5986.550200000001,5514.40524,1.0,0.0008397363227945487,0.0008397363227945487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10039.590616181611
2690.8,5959.25,1.2308,5034.0,5990.965200000001,5518.54924,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10039.590616181611
2715.0,5866.25,1.2207,4995.0,5993.1252,5522.3492400000005,1.0,-0.015605990686747506,-0.015605990686747506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9882.912858526723
2678.6,5874.5,1.2202,4970.0,5995.7502,5526.02924,1.0,0.001406349882804081,0.001406349882804081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9896.811691867075
2682.3,5882.25,1.2215,4995.0,5997.1502,5529.75424,1.0,0.0013192612137202797,0.0013192612137202797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909.86817167165
2717.8,5989.0,1.2242,5064.0,5997.7652,5534.22824,1.0,0.018147817586807724,0.018147817586807724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10089.710651560457
2750.9,5975.5,1.2239,5118.0,5997.2002,5538.4162400000005,1.0,-0.0022541325763900666,-0.0022541325763900666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10066.967106094424
2748.7,6033.5,1.2169,5163.0,5997.3652,5542.62924,1.0,0.009706300727972517,0.009706300727972517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10164.680116244785
2748.7,6033.5,1.2328,5185.0,5997.4002,5546.91524,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10164.680116244785
2759.2,6084.25,1.235,5184.0,5998.8252,5551.35324,1.0,0.008411369851661465,0.008411369851661465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10250.179000126349
2770.9,6120.5,1.2316,5223.0,6000.9152,5555.774240000001,1.0,0.005958006327813514,0.005958006327813514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10311.249631470322
2765.0,6152.0,1.2353,5236.0,6004.3902,5560.31124,1.0,0.005146638346540389,0.005146638346540389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10364.317904224397
2778.9,6133.25,1.2484,5232.0,6009.1252,5564.66824,1.0,-0.0030477893368010545,-0.0030477893368010545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10332.729646632688
2738.4,6046.75,1.2499,5202.0,6011.6602,5568.69024,1.0,-0.014103452492561064,-0.014103452492561064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10187.002484942926
2767.5,6097.0,1.2443,5216.0,6014.8252,5573.1932400000005,1.0,0.008310249307479145,0.008310249307479145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10271.659015288713
2769.8,6067.5,1.2452,5242.0,6017.4202000000005,5577.39124,1.0,-0.0048384451369526404,-0.0048384451369526404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10221.960156677751
2823.0,6099.25,1.2419,5298.0,6019.9952,5581.60224,1.0,0.005232797692624747,0.005232797692624747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10275.449606199718
2812.5,6067.25,1.2395,5291.0,6021.6002,5585.792240000001,1.0,-0.005246546706562327,-0.005246546706562327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10221.538979909863
2833.9,6022.25,1.245,5221.0,6021.9152,5589.80224,1.0,-0.007416869257076963,-0.007416869257076963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10145.727161689758
2853.3,6063.0,1.248,5279.0,6022.4102,5594.08824,1.0,0.006766573954917199,0.006766573954917199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10214.378974855743
2871.6,6086.5,1.2505,5275.0,6023.840200000001,5598.44924,1.0,0.003875968992248069,0.003875968992248069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10253.969591037352
2856.0,6106.0,1.2435,5374.0,6025.6602,5602.48224,1.0,0.0032038117144499445,0.0032038117144499445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10286.821378932731
2867.3,6049.5,1.2402,5326.0,6025.6202,5606.274240000001,1.0,-0.00925319358008514,-0.00925319358008514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10191.63542938971
2914.3,6088.75,1.2368,5375.0,6026.1602,5610.30824,1.0,0.0064881395156624055,0.0064881395156624055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10257.760181948359
2912.5,6092.25,1.2446,5401.0,6026.7402,5614.31724,1.0,0.0005748306302606476,0.0005748306302606476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10263.65665669881
2909.0,6072.75,1.2446,5417.0,6026.2252,5618.28424,1.0,-0.0032007878862488903,-0.0032007878862488903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230.804868803432
2925.9,6135.25,1.2566,5507.0,6027.1552,5622.41024,1.0,0.010291877650158598,0.010291877650158598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10336.099060775803
2883.6,6132.0,1.2586,5500.0,6027.8152,5626.354240000001,1.0,-0.000529725765046285,-0.000529725765046285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10330.623762793239
2883.6,6132.0,1.2625,5533.0,6029.1402,5630.32924,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10330.623762793239
2931.6,6146.75,1.2613,5552.0,6031.1502,5634.573240000001,1.0,0.0024054142204827933,0.0024054142204827933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10355.473192098718
2919.4,6163.0,1.2586,5467.0,6032.5552,5638.778240000001,1.0,0.0026436734859884847,0.0026436734859884847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10382.849682011534
